fare_amount,distance_km,passenger_count,hour,weekday,month,is_peak,is_night,is_weekend,pickup_borough,dropoff_borough,cluster,segment_label,is_high_fare,pickup_latitude,pickup_longitude
8.9,3.3140847447877597,1,12,5,11,0,0,1,0,0,3,Standard,0,40.737147,-74.001462
6.5,1.3928714572844612,1,19,0,11,1,0,0,4,4,2,Budget,0,40.767887,-73.963953
6.1,1.9114910919315475,2,19,3,2,1,0,0,0,0,2,Budget,0,40.790837,-73.974712
9.7,4.089425595457434,1,16,5,2,1,0,1,0,4,2,Budget,0,40.725648,-73.989738
6.0,0.9235916364852259,1,17,5,12,1,0,1,4,2,2,Budget,0,40.779502,-73.955557
28.27,11.10364445047389,5,12,0,12,0,0,0,0,2,1,Premium,1,40.750402,-73.991222
13.7,7.500458491897631,3,13,6,7,0,0,1,4,4,3,Standard,1,40.801872,-73.937028
40.83,10.686857369934065,6,15,1,6,0,0,0,0,2,1,Premium,1,40.755072,-73.987442
10.9,3.734649948841355,2,23,4,7,0,1,0,4,3,3,Standard,0,40.814091,-73.959355
6.1,1.3091044132317327,1,13,4,8,0,0,0,0,0,3,Standard,0,40.752562,-73.993501
6.5,1.2113939106116707,2,3,6,4,0,1,1,0,0,3,Standard,0,40.76914596557617,-73.9817886352539
10.1,1.9307727772919459,3,21,5,12,0,0,1,0,0,3,Standard,0,40.714748,-74.01647
8.0,2.43955611659301,1,22,2,2,0,1,0,0,0,3,Standard,0,40.750888,-73.98054
11.5,3.4428791753212558,1,11,5,5,0,0,1,2,0,3,Standard,0,40.79711151123047,-73.9493179321289
14.0,3.3130655896493657,1,20,5,11,1,0,1,4,0,2,Budget,1,40.780634,-73.953046
13.7,6.841580633271005,1,8,6,4,1,0,1,0,4,2,Budget,1,40.76228,-73.978895
7.7,1.6936797233712289,1,16,3,6,1,0,0,0,0,2,Budget,0,40.735162,-73.985789
5.0,1.366353939485826,3,1,6,10,0,1,1,0,0,3,Standard,0,40.75607,-73.986717
8.5,2.0793205517712066,1,14,1,5,0,0,0,0,0,3,Standard,0,40.787727,-73.978788
5.3,1.3724826297923165,3,2,5,7,0,1,1,0,0,3,Standard,0,40.734206,-73.989829
9.3,3.257877702546541,1,13,0,10,0,0,0,0,4,3,Standard,0,40.751276,-73.980378
18.9,3.1338614885186065,1,10,4,11,1,0,0,4,0,2,Budget,1,40.766496,-73.954492
10.0,2.816429777449645,1,19,0,4,1,0,0,0,0,2,Budget,0,40.769371,-73.985781
4.5,0.563960192082799,1,13,3,4,0,0,0,0,0,3,Standard,0,40.78626,-73.978318
5.8,0.7802140247807129,1,1,6,4,0,1,1,0,0,3,Standard,0,40.71983,-73.987665
4.5,0.8975362480046399,1,8,3,1,1,0,0,0,0,2,Budget,0,40.737499,-73.996399
4.9,1.2956110261412368,3,4,1,11,0,1,0,4,4,3,Standard,0,40.792843,-73.96744699999999
7.3,1.6051518219572372,1,23,6,10,0,1,1,0,0,3,Standard,0,40.757773,-73.98915
8.5,1.8342325744337231,1,1,5,4,0,1,1,0,0,3,Standard,0,40.76794,-73.970326
11.5,3.2077609110941023,5,19,2,10,1,0,0,4,0,2,Budget,0,40.763853000000005,-73.96428
15.0,3.4889801039633204,1,15,2,11,0,0,0,0,2,3,Standard,1,40.766384,-73.986633
7.3,1.3560659462026416,3,12,0,3,0,0,0,0,0,3,Standard,0,40.751262,-73.99394000000001
5.3,0.7497742765861655,2,11,1,9,0,0,0,4,4,3,Standard,0,40.775415,-73.960227
9.5,2.012849254578779,2,20,5,8,1,0,1,0,0,2,Budget,0,40.717035,-74.013245
7.3,3.2481134433716927,1,21,3,5,0,0,0,0,4,3,Standard,0,40.758279,-73.98625200000001
3.5,0.32820281802985407,1,20,5,1,1,0,1,0,0,2,Budget,0,40.788864,-73.975571
6.5,1.8821006975954324,1,7,1,12,1,0,0,4,0,2,Budget,0,40.765317,-73.96131700000001
10.0,2.531587493368267,1,19,6,1,1,0,1,0,0,2,Budget,0,40.75580596923828,-73.97631072998048
13.5,4.071227233266942,1,21,3,12,0,0,0,0,1,3,Standard,1,40.719182,-73.996921
